station_id,sample_in_run,t0_unix,t4_unix,end_to_end_latency_s,run_min_latency_s,run_max_latency_s,global_min_latency_s,global_max_latency_s
Station_01,91,1784278584.544203,1784278584.565862,0.021659,0.021613,0.361764,0.021613,0.361764
Station_01,92,1784278604.524987,1784278604.546180,0.021194,0.021194,0.361764,0.021194,0.361764
Station_01,93,1784278624.566896,1784278624.588627,0.021730,0.021194,0.361764,0.021194,0.361764
Station_01,94,1784278644.583249,1784278644.605525,0.022276,0.021194,0.361764,0.021194,0.361764
Station_01,95,1784278664.548695,1784278664.571351,0.022656,0.021194,0.361764,0.021194,0.361764
Station_01,96,1784278684.532218,1784278684.555205,0.022987,0.021194,0.361764,0.021194,0.361764
Station_01,97,1784278704.556016,1784278704.581159,0.025143,0.021194,0.361764,0.021194,0.361764
Station_01,98,1784278724.564311,1784278724.585713,0.021402,0.021194,0.361764,0.021194,0.361764
Station_01,99,1784278744.539634,1784278744.563012,0.023378,0.021194,0.361764,0.021194,0.361764
Station_01,1,1784279036.375952,1784279036.402164,0.026213,0.026213,0.026213,0.021194,0.361764
Station_01,1,1784283181.387991,1784283181.426103,0.038111,0.038111,0.038111,0.021194,0.361764
Station_01,1,1784285452.193185,1784285452.555836,0.362651,0.362651,0.362651,0.021194,0.362651
Station_01,1,1784285775.006102,1784285775.041718,0.035616,0.035616,0.035616,0.021194,0.362651
Station_01,2,1784285795.005959,1784285795.036094,0.030136,0.030136,0.035616,0.021194,0.362651
Station_01,1,1784285920.941601,1784285920.971356,0.029755,0.029755,0.029755,0.021194,0.362651
Station_01,1,1784286046.703628,1784286046.734839,0.031212,0.031212,0.031212,0.021194,0.362651
Station_01,2,1784286066.723032,1784286066.749395,0.026362,0.026362,0.031212,0.021194,0.362651
Station_01,3,1784286126.519245,1784286126.548322,0.029077,0.026362,0.031212,0.021194,0.362651
Station_01,4,1784286145.684892,1784286145.714025,0.029133,0.026362,0.031212,0.021194,0.362651
Station_01,1,1784286531.011938,1784286531.038616,0.026679,0.026679,0.026679,0.021194,0.362651
Station_01,2,1784286550.985243,1784286551.010762,0.025519,0.025519,0.026679,0.021194,0.362651
Station_01,3,1784286568.134537,1784286568.162390,0.027854,0.025519,0.027854,0.021194,0.362651
Station_01,1,1784286621.593522,1784286621.621748,0.028226,0.028226,0.028226,0.021194,0.362651
Station_01,2,1784286640.776997,1784286640.802979,0.025981,0.025981,0.028226,0.021194,0.362651
Station_01,1,1784287422.132809,1784287422.606126,0.473316,0.473316,0.473316,0.021194,0.473316
Station_01,2,1784287442.114772,1784287442.142963,0.028191,0.028191,0.473316,0.021194,0.473316
Station_01,1,1784287472.725406,1784287472.756790,0.031384,0.031384,0.031384,0.021194,0.473316
Station_01,1,1784287503.909770,1784287503.942375,0.032605,0.032605,0.032605,0.021194,0.473316
